编号,诗名称,作者,诗类型,链接
109,登岳阳楼,杜甫,五言律诗,https://so.gushiwen.cn/shiwenv_c05fb9a17f71.aspx
110,奉济驿重送严公四韵,杜甫,五言律诗,https://so.gushiwen.cn/shiwenv_1564812c1366.aspx
111,别房太尉墓,杜甫,五言律诗,https://so.gushiwen.cn/shiwenv_f67ed771d1fa.aspx
112,旅夜书怀,杜甫,五言律诗,https://so.gushiwen.cn/shiwenv_30bf1f03b349.aspx
113,至德二载甫自京金光门,杜甫,五言律诗,https://so.gushiwen.cn/shiwenv_c6eb858ffa79.aspx
114,月夜忆舍弟,杜甫,五言律诗,https://so.gushiwen.cn/shiwenv_ad6f7cfa10c2.aspx
115,天末怀李白,杜甫,五言律诗,https://so.gushiwen.cn/shiwenv_38418ed36981.aspx
116,月夜,杜甫,五言律诗,https://so.gushiwen.cn/shiwenv_1e8a3b873f28.aspx
117,春望,杜甫,五言律诗,https://so.gushiwen.cn/shiwenv_89d3a63c6d7f.aspx
118,春宿左省,杜甫,五言律诗,https://so.gushiwen.cn/shiwenv_2d9e4af24a52.aspx
119,旅宿,杜牧,五言律诗,https://so.gushiwen.cn/shiwenv_0cf45663f32a.aspx
120,春宫怨,杜荀鹤,五言律诗,https://so.gushiwen.cn/shiwenv_c68b17ec4941.aspx
121,和晋陵陆丞早春游望,杜审言,五言律诗,https://so.gushiwen.cn/shiwenv_53c580f21ba6.aspx
122,杂诗三首·其三,沈佺期,五言律诗,https://so.gushiwen.cn/shiwenv_06ffa37f5123.aspx
123,宿桐庐江寄广陵旧游,孟浩然,五言律诗,https://so.gushiwen.cn/shiwenv_2c0faba4ce52.aspx
124,留别王维,孟浩然,五言律诗,https://so.gushiwen.cn/shiwenv_5f04d2d118d1.aspx
125,早寒有怀,孟浩然,五言律诗,https://so.gushiwen.cn/shiwenv_219b75964f74.aspx
126,岁暮归南山,孟浩然,五言律诗,https://so.gushiwen.cn/shiwenv_80cde550c438.aspx
127,过故人庄,孟浩然,五言律诗,https://so.gushiwen.cn/shiwenv_4a0d548bebb3.aspx
128,秦中寄远上人,孟浩然,五言律诗,https://so.gushiwen.cn/shiwenv_ab3dd0fbce99.aspx
129,望洞庭湖赠张丞相,孟浩然,五言律诗,https://so.gushiwen.cn/shiwenv_ae20659aff8c.aspx
130,与诸子登岘山,孟浩然,五言律诗,https://so.gushiwen.cn/shiwenv_5ad7bb0feb8b.aspx
131,宴梅道士山房,孟浩然,五言律诗,https://so.gushiwen.cn/shiwenv_4041576ad0f3.aspx
132,章台夜思,韦庄,五言律诗,https://so.gushiwen.cn/shiwenv_885999023597.aspx
133,淮上喜会梁州故人,韦应物,五言律诗,https://so.gushiwen.cn/shiwenv_43e1c0daacca.aspx
134,赋得暮雨送李曹,韦应物,五言律诗,https://so.gushiwen.cn/shiwenv_40920344347d.aspx
135,经邹鲁祭孔子而叹之,唐玄宗,五言律诗,https://so.gushiwen.cn/shiwenv_325d2f85a89e.aspx
136,灞上秋居,马戴,五言律诗,https://so.gushiwen.cn/shiwenv_5d0d8b3c1111.aspx
137,楚江怀古三首·其一,马戴,五言律诗,https://so.gushiwen.cn/shiwenv_2a4d274daaf8.aspx
138,除夜有怀,崔涂,五言律诗,https://so.gushiwen.cn/shiwenv_c34469635b91.aspx
139,孤雁,崔涂,五言律诗,https://so.gushiwen.cn/shiwenv_a6428227e841.aspx
140,题破山寺后禅院,常建,五言律诗,https://so.gushiwen.cn/shiwenv_e2890c61279c.aspx
141,望月怀远,张九龄,五言律诗,https://so.gushiwen.cn/shiwenv_7cc200edc65e.aspx
142,书边事,张乔,五言律诗,https://so.gushiwen.cn/shiwenv_535a33944e8a.aspx
143,没蕃故人,张籍,五言律诗,https://so.gushiwen.cn/shiwenv_67a8c97e4204.aspx
144,秋日赴阙题潼关驿楼,许浑,五言律诗,https://so.gushiwen.cn/shiwenv_b2aea72b82fa.aspx
145,早秋,许浑,五言律诗,https://so.gushiwen.cn/shiwenv_a0d7b609d5a0.aspx
146,送人东游,温庭筠,五言律诗,https://so.gushiwen.cn/shiwenv_57cf93080fe5.aspx
147,寻陆鸿渐不遇,皎然,五言律诗,https://so.gushiwen.cn/shiwenv_83f04219a489.aspx
148,寻南溪常道士,刘长卿,五言律诗,https://so.gushiwen.cn/shiwenv_364955a27a28.aspx
149,新年作,刘长卿,五言律诗,https://so.gushiwen.cn/shiwenv_0938dbd3a92b.aspx
150,秋日登吴公台上寺远眺,刘长卿,五言律诗,https://so.gushiwen.cn/shiwenv_2cc76d63e364.aspx
151,送李中丞归汉阳别业,刘长卿,五言律诗,https://so.gushiwen.cn/shiwenv_b2db4922a8d6.aspx
152,饯别王十一南游,刘长卿,五言律诗,https://so.gushiwen.cn/shiwenv_af61db719e9b.aspx
153,蜀先主庙,刘禹锡,五言律诗,https://so.gushiwen.cn/shiwenv_5cfb7b0f14bd.aspx
154,阙题,刘昚虚,五言律诗,https://so.gushiwen.cn/shiwenv_888beab9cc48.aspx
155,送李端,卢纶,五言律诗,https://so.gushiwen.cn/shiwenv_fdae6ac54db6.aspx
156,送僧归日本,钱起,五言律诗,https://so.gushiwen.cn/shiwenv_dffaca77458e.aspx
157,谷口书斋寄杨补阙,钱起,五言律诗,https://so.gushiwen.cn/shiwenv_b9dba57bdd9b.aspx
158,在狱咏蝉,骆宾王,五言律诗,https://so.gushiwen.cn/shiwenv_cecffc2a400d.aspx
159,江乡故人偶集客舍,戴叔伦,五言律诗,https://so.gushiwen.cn/shiwenv_dad2bb2ce25c.aspx
160,酬程延秋夜即事见赠,韩翃,五言律诗,https://so.gushiwen.cn/shiwenv_baf6517f175b.aspx
161,遣悲怀三首·其一,元稹,七言律诗,https://so.gushiwen.cn/shiwenv_c20e02dc390a.aspx
162,遣悲怀三首·其二,元稹,七言律诗,https://so.gushiwen.cn/shiwenv_8d7eab9265d3.aspx
163,遣悲怀三首·其三,元稹,七言律诗,https://so.gushiwen.cn/shiwenv_fe89b7670e0a.aspx
164,赠郭给事,王维,七言律诗,https://so.gushiwen.cn/shiwenv_47847fb84bee.aspx
165,和贾至舍人早朝大明宫,王维,七言律诗,https://so.gushiwen.cn/shiwenv_f9b928085e77.aspx
166,奉和圣制从蓬莱向兴庆阁道,王维,七言律诗,https://so.gushiwen.cn/shiwenv_96eec499eca2.aspx
